Betriebszeit_-,Personen_Pers_m2,Innere Wärmen Sommer gesamt inkl. Verdungskälte_W_m2,Innere Wärmen Winter gesamt inkl. Verdungskälte_W_m2,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_unskaliert_W_m2,Nutzerstrom_W_m2
1,0.027777778,8.492687007,4.246343503,0.4,0.07,1.706269433,0.456516777,0.2,0,2.905544594,2.905544594
1,0.027777778,7.558359073,3.779179536,0.4,0.07,0.846084016,0.456516777,0.2,0,2.404713002,2.404713002
1,0.027777778,5.267154121,2.633577061,0.4,0.07,0.846084016,0.456516777,0.2,0,1.780734548,1.780734548
1,0.027777778,3.904932291,1.952466145,0.4,0.07,0.423042008,0.456516777,0.2,0,1.201583613,1.201583613
1,0.027777778,3.321457954,1.660728977,0.4,0.07,0.423042008,0.456516777,0.2,0,0.888821498,0.888821498
1,0.027777778,3.184000243,1.592000122,0.4,0.07,0.423042008,0.456516777,0.2,0,0.815139484,0.815139484
1,0.027777778,3.143628049,1.571814024,0.4,0.07,0.846084016,0.456516777,0.2,0,0.793498612,0.793498612
1,0.027777778,3.167659117,1.583829558,0.4,0.07,0.846084016,0.456516777,0.2,0,0.806380083,0.806380083
1,0.027777778,3.465644363,1.732822182,0.4,0.07,1.706269433,0.456516777,0.2,0,0.966110323,0.966110323
1,0.027777778,5.126671801,2.563335901,0.4,0.07,2.552353449,0.456516777,0.2,0,1.856477598,1.856477598
1,0.027777778,7.202276619,3.601138309,0.4,0.07,4.258622882,0.456516777,0.2,0,2.666979752,2.666979752
1,0.027777778,8.20527543,4.102637715,0.4,0.07,4.258622882,0.456516777,0.2,0,2.751482201,2.751482201
1,0.027777778,6.963888422,3.481944211,0.4,0.07,3.398437466,0.456516777,0.2,0,2.53919556,2.53919556
1,0.027777778,6.413916698,3.206958349,0.4,0.07,2.129311441,0.456516777,0.2,0,2.395438343,2.395438343
1,0.027777778,6.494661088,3.247330544,0.4,0.07,1.706269433,0.456516777,0.2,0,2.438720086,2.438720086
1,0.027777778,6.970476239,3.48523812,0.4,0.07,2.552353449,0.456516777,0.2,0,2.693773211,2.693773211
1,0.027777778,7.205160347,3.602580173,0.4,0.07,3.398437466,0.456516777,0.2,0,2.668525528,2.668525528
1,0.027777778,6.662058204,3.331029102,0.4,0.07,2.129311441,0.456516777,0.2,0,2.377404284,2.377404284
1,0.027777778,5.975590013,2.987795007,0.4,0.07,1.269126024,0.456516777,0.2,0,2.160480313,2.160480313
1,0.027777778,5.990969897,2.995484949,0.4,0.07,1.269126024,0.456516777,0.2,0,2.168724454,2.168724454
1,0.027777778,6.891654335,3.445827168,0.4,0.07,2.129311441,0.456516777,0.2,0,2.651521986,2.651521986
1,0.027777778,8.616264675,4.308132337,0.4,0.07,2.552353449,0.456516777,0.2,0,3.424925504,3.424925504
1,0.027777778,11.10961236,5.554806181,0.4,0.07,2.552353449,0.456516777,0.2,0,3.855166635,3.855166635
1,0.027777778,10.38579659,5.192898293,0.4,0.07,2.129311441,0.456516777,0.2,0,3.467176729,3.467176729
1,0.027777778,8.492687007,4.246343503,0.4,0.07,1.706269433,0.456516777,0.2,0,2.905544594,2.905544594
1,0.027777778,7.558359073,3.779179536,0.4,0.07,0.846084016,0.456516777,0.2,0,2.404713002,2.404713002
1,0.027777778,5.267154121,2.633577061,0.4,0.07,0.846084016,0.456516777,0.2,0,1.780734548,1.780734548
1,0.027777778,3.904932291,1.952466145,0.4,0.07,0.423042008,0.456516777,0.2,0,1.201583613,1.201583613
1,0.027777778,3.321457954,1.660728977,0.4,0.07,0.423042008,0.456516777,0.2,0,0.888821498,0.888821498
1,0.027777778,3.184000243,1.592000122,0.4,0.07,0.423042008,0.456516777,0.2,0,0.815139484,0.815139484
1,0.027777778,3.143628049,1.571814024,0.4,0.07,0.846084016,0.456516777,0.2,0,0.793498612,0.793498612
1,0.027777778,3.167659117,1.583829558,0.4,0.07,0.846084016,0.456516777,0.2,0,0.806380083,0.806380083
1,0.027777778,3.465644363,1.732822182,0.4,0.07,1.706269433,0.456516777,0.2,0,0.966110323,0.966110323
1,0.027777778,5.126671801,2.563335901,0.4,0.07,2.552353449,0.456516777,0.2,0,1.856477598,1.856477598
1,0.027777778,7.202276619,3.601138309,0.4,0.07,4.258622882,0.456516777,0.2,0,2.666979752,2.666979752
1,0.027777778,8.20527543,4.102637715,0.4,0.07,4.258622882,0.456516777,0.2,0,2.751482201,2.751482201
1,0.027777778,6.963888422,3.481944211,0.4,0.07,3.398437466,0.456516777,0.2,0,2.53919556,2.53919556
1,0.027777778,6.413916698,3.206958349,0.4,0.07,2.129311441,0.456516777,0.2,0,2.395438343,2.395438343
1,0.027777778,6.494661088,3.247330544,0.4,0.07,1.706269433,0.456516777,0.2,0,2.438720086,2.438720086
1,0.027777778,6.970476239,3.48523812,0.4,0.07,2.552353449,0.456516777,0.2,0,2.693773211,2.693773211
1,0.027777778,7.205160347,3.602580173,0.4,0.07,3.398437466,0.456516777,0.2,0,2.668525528,2.668525528
1,0.027777778,6.662058204,3.331029102,0.4,0.07,2.129311441,0.456516777,0.2,0,2.377404284,2.377404284
1,0.027777778,5.975590013,2.987795007,0.4,0.07,1.269126024,0.456516777,0.2,0,2.160480313,2.160480313
1,0.027777778,5.990969897,2.995484949,0.4,0.07,1.269126024,0.456516777,0.2,0,2.168724454,2.168724454
1,0.027777778,6.891654335,3.445827168,0.4,0.07,2.129311441,0.456516777,0.2,0,2.651521986,2.651521986
1,0.027777778,8.616264675,4.308132337,0.4,0.07,2.552353449,0.456516777,0.2,0,3.424925504,3.424925504
1,0.027777778,11.10961236,5.554806181,0.4,0.07,2.552353449,0.456516777,0.2,0,3.855166635,3.855166635
1,0.027777778,10.38579659,5.192898293,0.4,0.07,2.129311441,0.456516777,0.2,0,3.467176729,3.467176729
1,0.027777778,8.492687007,4.246343503,0.4,0.07,1.706269433,0.456516777,0.2,0,2.905544594,2.905544594
1,0.027777778,7.558359073,3.779179536,0.4,0.07,0.846084016,0.456516777,0.2,0,2.404713002,2.404713002
1,0.027777778,5.267154121,2.633577061,0.4,0.07,0.846084016,0.456516777,0.2,0,1.780734548,1.780734548
1,0.027777778,3.904932291,1.952466145,0.4,0.07,0.423042008,0.456516777,0.2,0,1.201583613,1.201583613
1,0.027777778,3.321457954,1.660728977,0.4,0.07,0.423042008,0.456516777,0.2,0,0.888821498,0.888821498
1,0.027777778,3.184000243,1.592000122,0.4,0.07,0.423042008,0.456516777,0.2,0,0.815139484,0.815139484
1,0.027777778,3.143628049,1.571814024,0.4,0.07,0.846084016,0.456516777,0.2,0,0.793498612,0.793498612
1,0.027777778,3.167659117,1.583829558,0.4,0.07,0.846084016,0.456516777,0.2,0,0.806380083,0.806380083
1,0.027777778,3.465644363,1.732822182,0.4,0.07,1.706269433,0.456516777,0.2,0,0.966110323,0.966110323
1,0.027777778,5.126671801,2.563335901,0.4,0.07,2.552353449,0.456516777,0.2,0,1.856477598,1.856477598
1,0.027777778,7.202276619,3.601138309,0.4,0.07,4.258622882,0.456516777,0.2,0,2.666979752,2.666979752
1,0.027777778,8.20527543,4.102637715,0.4,0.07,4.258622882,0.456516777,0.2,0,2.751482201,2.751482201
1,0.027777778,6.963888422,3.481944211,0.4,0.07,3.398437466,0.456516777,0.2,0,2.53919556,2.53919556
1,0.027777778,6.413916698,3.206958349,0.4,0.07,2.129311441,0.456516777,0.2,0,2.395438343,2.395438343
1,0.027777778,6.494661088,3.247330544,0.4,0.07,1.706269433,0.456516777,0.2,0,2.438720086,2.438720086
1,0.027777778,6.970476239,3.48523812,0.4,0.07,2.552353449,0.456516777,0.2,0,2.693773211,2.693773211
1,0.027777778,7.205160347,3.602580173,0.4,0.07,3.398437466,0.456516777,0.2,0,2.668525528,2.668525528
1,0.027777778,6.662058204,3.331029102,0.4,0.07,2.129311441,0.456516777,0.2,0,2.377404284,2.377404284
1,0.027777778,5.975590013,2.987795007,0.4,0.07,1.269126024,0.456516777,0.2,0,2.160480313,2.160480313
1,0.027777778,5.990969897,2.995484949,0.4,0.07,1.269126024,0.456516777,0.2,0,2.168724454,2.168724454
1,0.027777778,6.891654335,3.445827168,0.4,0.07,2.129311441,0.456516777,0.2,0,2.651521986,2.651521986
1,0.027777778,8.616264675,4.308132337,0.4,0.07,2.552353449,0.456516777,0.2,0,3.424925504,3.424925504
1,0.027777778,11.10961236,5.554806181,0.4,0.07,2.552353449,0.456516777,0.2,0,3.855166635,3.855166635
1,0.027777778,10.38579659,5.192898293,0.4,0.07,2.129311441,0.456516777,0.2,0,3.467176729,3.467176729
1,0.027777778,8.492687007,4.246343503,0.4,0.07,1.706269433,0.456516777,0.2,0,2.905544594,2.905544594
1,0.027777778,7.558359073,3.779179536,0.4,0.07,0.846084016,0.456516777,0.2,0,2.404713002,2.404713002
1,0.027777778,5.267154121,2.633577061,0.4,0.07,0.846084016,0.456516777,0.2,0,1.780734548,1.780734548
1,0.027777778,3.904932291,1.952466145,0.4,0.07,0.423042008,0.456516777,0.2,0,1.201583613,1.201583613
1,0.027777778,3.697303861,1.848651931,0.4,0.07,0.423042008,0.456516777,0.2,0,1.090287704,1.090287704
1,0.027777778,3.282047002,1.641023501,0.4,0.07,0.423042008,0.456516777,0.2,0,0.867695885,0.867695885
1,0.027777778,3.1897677,1.59488385,0.4,0.07,0.423042008,0.456516777,0.2,0,0.818231037,0.818231037
1,0.027777778,3.142666806,1.571333403,0.4,0.07,0.423042008,0.456516777,0.2,0,0.792983354,0.792983354
1,0.027777778,3.204186341,1.60209317,0.4,0.07,0.423042008,0.456516777,0.2,0,0.825959919,0.825959919
1,0.027777778,3.704993803,1.852496902,0.4,0.07,0.846084016,0.456516777,0.2,0,1.094409774,1.094409774
1,0.027777778,5.377837916,2.688918958,0.4,0.07,1.706269433,0.456516777,0.2,0,1.689018475,1.689018475
1,0.027777778,7.674669443,3.837334722,0.4,0.07,2.552353449,0.456516777,0.2,0,2.467059322,2.467059322
1,0.027777778,7.675208042,3.837604021,0.4,0.07,2.552353449,0.456516777,0.2,0,2.920487101,2.920487101
1,0.027777778,7.629888752,3.814944376,0.4,0.07,2.129311441,0.456516777,0.2,0,3.047240775,3.047240775
1,0.027777778,7.904804173,3.952402087,0.4,0.07,1.283227425,0.456516777,0.2,0,3.194604803,3.194604803
